field                           prec     rec      f1  support
-------------------------------------------------------------
menu.cnt                       0.000   0.000   0.000      220
menu.discountprice             0.000   0.000   0.000       10
menu.etc                       0.000   0.000   0.000        3
menu.itemsubtotal              0.000   0.000   0.000        6
menu.nm                        0.510   0.813   0.627      251
menu.num                       0.000   0.000   0.000       11
menu.price                     0.403   0.654   0.498      246
menu.sub.cnt                   0.000   0.000   0.000       17
menu.sub.nm                    0.000   0.000   0.000       36
menu.sub.price                 0.000   0.000   0.000       20
menu.unitprice                 0.000   0.000   0.000       67
sub_total.discount_price       0.375   0.429   0.400        7
sub_total.etc                  0.000   0.000   0.000       13
sub_total.service_price        1.000   0.667   0.800       12
sub_total.subtotal_price       0.979   0.712   0.825       66
sub_total.tax_price            0.839   0.578   0.684       45
total.cashprice                0.914   0.768   0.835       69
total.changeprice              0.951   0.696   0.804       56
total.creditcardprice          0.600   0.176   0.273       17
total.emoneyprice              0.000   0.000   0.000        2
total.menuqty_cnt              1.000   0.034   0.067       29
total.menutype_cnt             0.000   0.000   0.000        7
total.total_etc                0.000   0.000   0.000        3
total.total_price              0.680   0.708   0.694       96
-------------------------------------------------------------
micro avg                      0.557   0.468   0.509     1309
