field                           prec     rec      f1  support
-------------------------------------------------------------
menu.cnt                       0.978   0.991   0.984      220
menu.discountprice             0.545   0.600   0.571       10
menu.etc                       0.000   0.000   0.000        3
menu.itemsubtotal              0.000   0.000   0.000        6
menu.nm                        0.915   0.948   0.932      251
menu.num                       1.000   0.727   0.842       11
menu.price                     0.957   0.988   0.972      246
menu.sub.cnt                   0.895   1.000   0.944       17
menu.sub.nm                    0.868   0.917   0.892       36
menu.sub.price                 1.000   0.900   0.947       20
menu.unitprice                 0.926   0.940   0.933       67
sub_total.discount_price       0.750   0.857   0.800        7
sub_total.etc                  0.833   0.769   0.800       13
sub_total.service_price        1.000   1.000   1.000       12
sub_total.subtotal_price       0.929   0.985   0.956       66
sub_total.tax_price            0.957   1.000   0.978       45
total.cashprice                1.000   0.957   0.978       69
total.changeprice              0.982   1.000   0.991       56
total.creditcardprice          1.000   1.000   1.000       17
total.emoneyprice              0.333   0.500   0.400        2
total.menuqty_cnt              0.935   1.000   0.967       29
total.menutype_cnt             1.000   0.714   0.833        7
total.total_etc                0.000   0.000   0.000        3
total.total_price              0.969   0.979   0.974       96
-------------------------------------------------------------
micro avg                      0.942   0.955   0.948     1309
